,cpdr_respondent_nation_economy,cpdr_respondent_nation,cpdr_complainant_nation_economy,cpdr_means_of_resolution,cpdr_case_status,cpdr_respondent_type,cpdr_complainant_type,cpdr_complainant_nation,cpdr_provenience_nation,cpdr_object_material,cpdr_object_type
2018 Benin Decorative Bronze Plaques,Developed,United Kingdom,In Transition,,Object(s) not relinquished,Public: Institution,Public: Government,Nigeria,Nigeria,metal,
22 Indian Artifacts,Developed,2 or more respondent nations,Developing,,Some objects relinquished,,Public: Government,India,,stone,Sculpture
"Bulgarian ancient coins, pendants, brooches, statues, spearheads",Developed,Bulgaria,,Litigation,Object(s) relinquished,Private: Individual,,United Kingdom,Bulgaria,,Weapon
Roman marble sculpture,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Italy,Italy,stone,Sculpture
50 Pre-Hispanic Mexican artifacts,Developed,2 or more respondent nations,Developing,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Mexico,Mexico,stone,Column
13 South Asian antiquities,Developed,United States,,Action by Respondent's Govt.,Object(s) not relinquished,Private: Company,,India,India,,Statue
2008 Maqdala Treasure,Developed,United Kingdom,In Transition,Private Negotiation,Some objects relinquished,Public: Institution,Public: Government,Ethiopia,Ethiopia,,
Portrait of a Lady by Melchior Geldorp,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Institution,Poland,,,
Anatolian Guennol-Stargazer Marble Statue,Developed,United States,In Transition,Litigation,Object(s) not relinquished,Private: Company,Public: Government,Turkey,Turkey,stone,Statue
Trequanda Gothic Processional Cross,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,metal,
"Southern Italian Bronzes, Jewelry, and Ceramics",Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,ceramic,
"Oil painting, Das Bunte Leben, by Kandinsky",Developed,Germany,Developed,Litigation,Object(s) not relinquished,Public: Institution,Private: Individual,United States,Netherlands,tempera,Painting
Ships in a Rough Sea by Simon de Vlieger's,Developed,Germany,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Institution,Poland,Netherlands,,
Sessa Aurunca Head of Drusus Minor,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,,
"Paintings by Max Beckmann, Juan Gris, and Paul Klee",Developed,Germany,Developed,Litigation,Object(s) not relinquished,Public: Institution,Private: Individual,United Kingdom,,paint,Painting
Varii de Natvralibvs Rebus Libelli,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Private: Institution,Italy,Italy,paper,Manuscript
Renaissance Book and Illuminated Page of Renaissance Book,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Institution,Italy,,paper,
2015 Two Olmec Wood Head Carvings,Developed,Germany,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Mexico,Mexico,wood,
Autobiography of Luis de Carvajal Manuscript,Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Institution,Mexico,Mexico,,
Four Mosaics from Church of Panagia Kanakaria in Cyprus,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Cyprus,Cyprus,stone,
Tamil Nadu Bronze Gnesha Statue,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,India,India,metal,
Tamil Nadu Ardhanarishvara Statue,Developed,Australia,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,India,India,stone,Statue
Two Greek Marble Acroliths,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Institution,Italy,Italy,wood,Statue
Etruscan and Central Italian Ceramics and Marble Antiquities & Three Etruscan Bronzes,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,,stone,Statue
Pissarro print: Le Marché,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,France,,paper,Print
2004 Italian Antiquities,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,metal,
Three first century B.C.E fresco fragments,Developed,United States,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,paint,Painting
Liaoning Fossils,Developed,Canada,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,,
2014 Indian Parrot Lady,Developed,Canada,In Transition,Sua sponte donation,Object(s) not relinquished,Public: Government,Public: Government,India,India,stone,
Mithra Marble Statue Torso,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,
Diadoumenos Marble Statue Head,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,,
Paeston Red-Figure Calyx Crater; Stone Stela; Etruscan candelabrum,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,terracotta,Stele
1994 Greek Stele,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,,stone,
Samoei Ceremonial Items,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Kenya,,leather,
Benin Bronze,Developed,Germany,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Nigeria,,metal,Statue
2006 Italian Hellenistic Silver,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,,metal,
2008 42 Coins,Developed,Germany,Developed,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Estonia,,metal,
North Vietnamese Soldier Helmet,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Private: Individual,Vietnam,Vietnam,,
Nhu Ho Pagoda Bronze Bell,Developed,Japan,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Private: Institution,Vietnam,Vietnam,metal,
Minto Stone,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Indonesia,Indonesia,stone,
Nagasaki Standing Bronze Buddha,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Japan,Japan,metal,
Nagasaki Seated Bodhisattva,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Japan,Japan,metal,
Nagasaki Tripitaka Buddhist Writings,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Japan,Japan,,
2011 Greek Funerary Statue Fragments of Seated Woman,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Greece,,,
Religious Calendar of Thorikos,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Greece,,stone,
Manuscript with autograph signature of Junipero Serra,Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Mexico,Mexico,paper,
Paintings from Alto Peru,In Transition,Bolivia,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Peru,Bolivia,,
2009 Egyptian Sarcophagus,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Individual,Public: Government,Egypt,Egypt,,
Ceremonial Helmet and Cuirass of Prince Elector Johann Georg II of Saxony,Developed,United States,Developed,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Germany,Germany,steel,Armor
"Crustumerian, Etruscan, and Villanovan Pottery",Developed,United States,Developed,Litigation,Object(s) not relinquished,Public: Government,Public: Government,Italy,Italy,terracotta,Vase
Etruscan Black-Figured Kalpis,Developed,United States,Developed,Litigation,Object(s) not relinquished,Public: Government,Public: Government,Italy,Italy,ceramic,
Ancient Egyptian Funerary Stone and Wood Carvings,Developed,,In Transition,Litigation,Object(s) not relinquished,Public: Government,Public: Government,Egypt,Greece,,
1999 Trojan War and Mithra Greek Antiquities,Developed,United States,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Italy,Greece,,
2002 Roman Aphthonetus,Developed,United States,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Italy,Italy,,
Etruscan Black-Figured Kalpis II,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,Italy,,ceramic,
1996 Gold Funerary Wreath,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Greece,,,
1996 Kore Parian Marble Statue,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Greece,,stone,
Greek Marble Relief of Women Offering to Goddess,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Greece,Greece,stone,
Black Stele/Tombstone of Warrior Athanias,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Greece,Greece,stone,Tombstone
1996 Italian Bronze Tripod,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,metal,
Heart Sutra Manuscript,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Japan,Japan,,
Kakurinji Amida Buddha Painting,Developed,South Korea,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Japan,Japan,,
Corner from a Naos of Amenemhat I,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Egypt,Egypt,,
Tintoretto Painting of the Holy Family with Saint Catherine and Honored Donor,Developed,Israel,Developed,Litigation,Object(s) not relinquished,Private: Individual,Public: Government,Germany,,oil,Painting
One Egyptian Ma'adi Vessel,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Egypt,Egypt,ceramic,Vessel
79 Egyptian Ma'adi Vessels,Developed,,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,stone,
8 Egyptian Ma'adi Vessels,Developed,Switzerland,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,stone,
Mutirdis Tomb Relief Fragment,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Egypt,Egypt,,
