,cpdr_complainant_nation
Italy,70
Egypt,38
Iraq,33
China,32
Cambodia,31
Nigeria,23
Turkey,19
United States,15
Greece,15
India,14
South Korea,13
Mexico,11
Thailand,11
Cyprus,10
Japan,9
Germany,9
Nepal,9
Kenya,9
France,7
Romania,7
Poland,7
Peru,6
Iran,6
Russia,6
Afghanistan,5
Vietnam,5
Guatemala,4
Ecuador,3
United States Tribal Nations,3
New Zealand,3
United Kingdom,3
Hungary,2
Australia,2
Ethiopia,2
Mali,2
Indonesia,2
Greenland,2
Bolivia,2
Lebanon,1
Ghana,1
Panama,1
Chile,1
Palestine,1
Sri Lanka,1
Yemen,1
Democratic Republic of the Congo,1
Benin,1
Armenia,1
Cameroon,1
Iceland,1
Libya,1
Zimbabwe,1
Syria,1
Namibia,1
Spain,1
Bulgaria,1
Canada,1
Algeria,1
South Africa,1
Congo (Kinshasa),1
Netherlands,1
Estonia,1
Switzerland,1
