,cpdr_respondent_nation_economy,cpdr_respondent_nation,cpdr_complainant_nation_economy,cpdr_means_of_resolution,cpdr_case_status,cpdr_respondent_type,cpdr_complainant_type,cpdr_complainant_nation,cpdr_provenience_nation,cpdr_object_material,cpdr_object_type
Developed,443.0,,,,,,,,,,
In Transition,24.0,,,,,,,,,,
Developing,3.0,,,,,,,,,,
United States,,262.0,,,,,,,,,
United Kingdom,,47.0,,,,,,,,,
Germany,,25.0,,,,,,,,,
France,,23.0,,,,,,,,,
Thailand,,11.0,,,,,,,,,
Japan,,10.0,,,,,,,,,
South Korea,,9.0,,,,,,,,,
Netherlands,,9.0,,,,,,,,,
Switzerland,,8.0,,,,,,,,,
Canada,,8.0,,,,,,,,,
Australia,,6.0,,,,,,,,,
Italy,,6.0,,,,,,,,,
Belgium,,4.0,,,,,,,,,
Russia,,4.0,,,,,,,,,
Austria,,3.0,,,,,,,,,
Denmark,,3.0,,,,,,,,,
Spain,,2.0,,,,,,,,,
Saudi Arabia,,2.0,,,,,,,,,
2 or more respondent nations,,2.0,,,,,,,,,
Sweden,,2.0,,,,,,,,,
Namibia,,2.0,,,,,,,,,
Turkey,,1.0,,,,,,,,,
Greece,,1.0,,,,,,,,,
Jordan,,1.0,,,,,,,,,
Syria,,1.0,,,,,,,,,
Hungary,,1.0,,,,,,,,,
Iraq,,1.0,,,,,,,,,
Tunisia,,1.0,,,,,,,,,
Finland,,1.0,,,,,,,,,
Norway,,1.0,,,,,,,,,
India,,1.0,,,,,,,,,
South Africa,,1.0,,,,,,,,,
China,,1.0,,,,,,,,,
New Zealand,,1.0,,,,,,,,,
Taiwan,,1.0,,,,,,,,,
Bulgaria,,1.0,,,,,,,,,
Israel,,1.0,,,,,,,,,
Bolivia,,1.0,,,,,,,,,
Mexico,,1.0,,,,,,,,,
In Transition,,,204.0,,,,,,,,
Developed,,,197.0,,,,,,,,
Developing,,,73.0,,,,,,,,
Inquiry/Demand,,,,151.0,,,,,,,
Sua sponte donation,,,,88.0,,,,,,,
Private Negotiation,,,,87.0,,,,,,,
Litigation,,,,75.0,,,,,,,
Action by Respondent's Govt.,,,,34.0,,,,,,,
Coordinated action by Complainant &amp; Respondent Governments,,,,15.0,,,,,,,
Action by Complainant's Govt.,,,,4.0,,,,,,,
Arbitration,,,,3.0,,,,,,,
Object(s) relinquished,,,,,352.0,,,,,,
Object(s) not relinquished,,,,,101.0,,,,,,
Some objects relinquished,,,,,15.0,,,,,,
Unresolved,,,,,10.0,,,,,,
Public: Government,,,,,,147.0,,,,,
Private: Institution,,,,,,105.0,,,,,
Private: Individual,,,,,,103.0,,,,,
Public: Institution,,,,,,75.0,,,,,
Private: Company,,,,,,37.0,,,,,
Public: Government,,,,,,,415.0,,,,
Public: Institution,,,,,,,40.0,,,,
Private: Individual,,,,,,,9.0,,,,
Private: Institution,,,,,,,9.0,,,,
Private: Company,,,,,,,1.0,,,,
Italy,,,,,,,,70.0,,,
Egypt,,,,,,,,38.0,,,
Iraq,,,,,,,,33.0,,,
China,,,,,,,,32.0,,,
Cambodia,,,,,,,,31.0,,,
Nigeria,,,,,,,,23.0,,,
Turkey,,,,,,,,19.0,,,
United States,,,,,,,,15.0,,,
Greece,,,,,,,,15.0,,,
India,,,,,,,,14.0,,,
South Korea,,,,,,,,13.0,,,
Mexico,,,,,,,,11.0,,,
Thailand,,,,,,,,11.0,,,
Cyprus,,,,,,,,10.0,,,
Japan,,,,,,,,9.0,,,
Germany,,,,,,,,9.0,,,
Nepal,,,,,,,,9.0,,,
Kenya,,,,,,,,9.0,,,
France,,,,,,,,7.0,,,
Romania,,,,,,,,7.0,,,
Poland,,,,,,,,7.0,,,
Peru,,,,,,,,6.0,,,
Iran,,,,,,,,6.0,,,
Russia,,,,,,,,6.0,,,
Afghanistan,,,,,,,,5.0,,,
Vietnam,,,,,,,,5.0,,,
Guatemala,,,,,,,,4.0,,,
Ecuador,,,,,,,,3.0,,,
United States Tribal Nations,,,,,,,,3.0,,,
